plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
1046.0, 52460.0, 125.0, 1989.6, 42.0, 40.99, 86.9, 9.4, 27.4, 18.156, nan, nan, nan, nan, 7.78, 45.218, -0.66 
995.0, 52731.0, 4.0, 1608.0, 41.7, 41.46, 70.0, 45.5, 6.8, 16.407, nan, nan, nan, nan, 7.74, 45.54, -0.3 
921.0, 52380.0, 592.0, 1354.1, 40.9, 41.65, 32.3, 65.5, 2.4, 18.571, 13.919, 13.049, 10.492, 8.049, 8.02, 45.152, -0.97 
750.0, 52235.0, 398.0, 1379.1, 41.4, 41.57, 42.5, 59.9, 11.2, 17.938, nan, nan, nan, nan, 7.76, 45.051, -0.81 
2792.0, 54556.0, 58.0, 1655.9, 41.6, 40.92, 73.5, 42.8, 13.6, 18.809, 14.085, 12.973, 9.759, 7.566, 7.71, 45.096, -0.71 
1050.0, 52721.0, 458.0, 3135.2, 41.8, 41.62, 82.8, 102.1, 7.4, 16.76, nan, nan, nan, nan, 8.23, 45.567, -0.76 
1050.0, 52721.0, 500.0, 1414.5, 41.5, 41.08, 47.3, 55.3, 12.6, 17.845, nan, nan, nan, nan, 7.24, 45.102, -0.24 
2856.0, 54463.0, 59.0, 1919.1, 42.3, 41.21, 42.8, 57.5, 34.9, 17.406, nan, nan, nan, nan, 7.87, 45.386, -0.58 
575.0, 52319.0, 555.0, 1597.1, 41.7, 40.86, 54.3, 31.6, 19.4, 18.663, nan, nan, nan, nan, 7.65, 45.068, -0.68 
1274.0, 52995.0, 363.0, 1600.4, 42.7, 41.36, 148.9, 48.0, 287.0, 18.162, 13.912, 12.809, 10.012, 7.927, 7.42, 44.948, -0.58 
391.0, 51782.0, 461.0, 2122.3, 41.7, 40.86, 76.1, 55.2, 26.1, 18.17, nan, nan, nan, nan, 7.67, 44.944, -0.82 
1848.0, 54180.0, 128.0, 2172.0, 41.4, 41.22, 41.9, 38.8, 11.0, 18.65, 14.858, 13.91, 10.79, 8.219, 8.17, 45.043, -1.23 
